user,tweet,date,likes,geo,coordinates,place,user_loc,query,in_nigeria,state,party_candidate,tweet_proc,sentiment
Yemife96,rt @mindset_tweet: those that love bola tinubu should go and collect their apv apc card and vote for him!,2022-11-26 16:50:39+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,tinubu_apc,rt @user those that love bola tinubu should go and collect their apv apc card and vote for him!,Positive
HIGHSTAR27,rt @victorisrael_: wow! this is so beautiful. everyone who came to stand in solidarity with asiwaju bola tinubu and shettima at the teslim…,2022-11-26 16:50:38+00:00,0,,,,Worldwide. ,bola tinubu,False,unknown,tinubu_apc,rt @user wow! this is so beautiful. everyone who came to stand in solidarity with asiwaju bola tinubu and shettima at the teslim…,Positive
Orakwuegodfrey1,"rt @kna_th: go and get your apv apc and you must vote.😂😂😂

truly, asiwaju bola ahmed tinubu’s health is suffering from mul-ti-li-pi-cation…",2022-11-26 16:50:37+00:00,0,,,,"Port Harcourt, Nigeria",bola tinubu,True,rivers,tinubu_apc,"rt @user go and get your apv apc and you must vote.😂😂😂

truly, asiwaju bola ahmed tinubu’s health is suffering from mul-ti-li-pi-cation…",Negative
Ekwere_Deus,"rt @dejioluwatobi: if anybody in this world would denigrate the painstaking heights peter obi has achieved in his life, it's not asiwaju bo…",2022-11-26 16:50:36+00:00,0,,,,God's Hand ,bola tinubu,False,unknown,obi_labour,"rt @user if anybody in this world would denigrate the painstaking heights peter obi has achieved in his life, it's not asiwaju bo…",Neutral
samkizz_elenu,"rt @nzube_agbo: when kenneth okonkwo said that asiwaju bola ahmed tinubu has become food for comedians, and a creator of comic relief, he w…",2022-11-26 16:50:36+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,tinubu_apc,"rt @user when kenneth okonkwo said that asiwaju bola ahmed tinubu has become food for comedians, and a creator of comic relief, he w…",Neutral
Josiahidam,rt @mavisikpeme: asiwaju bola ahmed tinubu should prove lagos is for apv apc by allowing peter obi launch his lagos campaign in the same te…,2022-11-26 16:50:34+00:00,0,,,,locate me if you can😊,bola tinubu,False,unknown,obi_labour,rt @user asiwaju bola ahmed tinubu should prove lagos is for apv apc by allowing peter obi launch his lagos campaign in the same te…,Neutral
HoneyteeG,"rt @deeoneayekooto: ""bola son of tinubu, lion the son of asabi....."" https://t.co/2gii0adro3",2022-11-26 16:50:33+00:00,0,,,,"Ado Ekiti, Nigeria",bola tinubu,True,ekiti,tinubu_apc,"rt @user ""bola son of tinubu, lion the son of asabi....."" http",Neutral
loyalBATvotary,"rt @davidsoffor: if you love asiwaju bola ahmed tinubu,go and get your pvc now!!!!

vote wisely!!",2022-11-26 16:50:32+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,tinubu_apc,"rt @user if you love asiwaju bola ahmed tinubu,go and get your pvc now!!!!

vote wisely!!",Positive
GAZZYOLA,"rt @officialjandor: today, markets across lagos have been forced to close with all traders mandated by governor sanwoolu government, to att…",2022-11-26 16:50:30+00:00,0,,,,far away,bola tinubu,False,unknown,,"rt @user today, markets across lagos have been forced to close with all traders mandated by governor sanwoolu government, to att…",Negative
PMSkukz,rt @mindset_tweet: those that love bola tinubu should go and collect their apv apc card and vote for him!,2022-11-26 16:50:29+00:00,0,,,,🌐 GLOBAL,bola tinubu,False,unknown,tinubu_apc,rt @user those that love bola tinubu should go and collect their apv apc card and vote for him!,Positive
