user,tweet,date,likes,geo,coordinates,place,user_loc,query,in_nigeria,state,party_candidate,tweet_proc,sentiment
AminuAbuzayd,"rt @lekanpaul: “we took over the worst pricing of crude oil but still, the very determined, focused person (president muhammadu buhari) was…",2022-10-13 16:53:56+00:00,0,,,,"Sabon-Gari, Zaria Nigeria",bola tinubu,True,unknown,,"rt @user “we took over the worst pricing of crude oil but still, the very determined, focused person (president muhammadu buhari) was…",Neutral
SabituAkorede,"rt @mrlurvy: we can actually campaign for asiwaju bola ahmed tinubu without insulting pyo.

same way pyo fanboys can keep us out of their w…",2022-10-13 16:53:44+00:00,0,,,,,bola tinubu,False,unknown,tinubu_apc,"rt @user we can actually campaign for asiwaju bola ahmed tinubu without insulting pyo.

same way pyo fanboys can keep us out of their w…",Neutral
amuiludun,rt @ninoroyals: the deputy national women leader of the apc haj. zainab abubakar ibrahim ( @auntyzeeee ) together with the apc presidential…,2022-10-13 16:53:34+00:00,0,,,,Worldwide,bola tinubu,False,unknown,tinubu_apc,rt @user the deputy national women leader of the apc haj. zainab abubakar ibrahim ( @user ) together with the apc presidential…,Neutral
hardeclarks,rt @fisayosoyombo: pure: if you slated bola tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,2022-10-13 16:53:31+00:00,0,,,,The pacific ,bola tinubu,False,unknown,tinubu_apc,rt @user pure: if you slated bola tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,Neutral
Qdpaper2,"""the best way to win an election today is to have a great yesterday that will bear you witness....""

- asiwaju bola ahmed tinubu

what great yesterday does your preferred candidate have that nigeria can bear witness? https://t.co/duqwwhllbc",2022-10-13 16:53:30+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,tinubu_apc,"""the best way to win an election today is to have a great yesterday that will bear you witness....""

- asiwaju bola ahmed tinubu

what great yesterday does your preferred candidate have that nigeria can bear witness? http",Neutral
ensurewords,@editieffiong which do you nigerians prefer and want? bola tinubu who sent seyi tinubu to remove the cctv at the lekki toll gate so there will be no evidence or general john enenche who was just a military spoke man obeying the military law of obey till the last order. chose one,2022-10-13 16:53:28+00:00,0,,,,INDIA,bola tinubu,False,unknown,tinubu_apc,@user which do you nigerians prefer and want? bola tinubu who sent seyi tinubu to remove the cctv at the lekki toll gate so there will be no evidence or general john enenche who was just a military spoke man obeying the military law of obey till the last order. chose one,Neutral
mrlurvy,"we can actually campaign for asiwaju bola ahmed tinubu without insulting pyo.

same way pyo fanboys can keep us out of their wailings. asiwaju bola ahmed tinubu is not your mate.",2022-10-13 16:53:14+00:00,4,,,,Nigeria,bola tinubu,True,unknown,tinubu_apc,"we can actually campaign for asiwaju bola ahmed tinubu without insulting pyo.

same way pyo fanboys can keep us out of their wailings. asiwaju bola ahmed tinubu is not your mate.",Neutral
pwizzydove,"rt @folushaw: watched 17 videos of bola ahmed tinubu out of boredom yesterday. 

just want to say if i ever hear any of you call any peter…",2022-10-13 16:52:57+00:00,0,,,,Planet Earth,bola tinubu,False,unknown,obi_labour,"rt @user watched 17 videos of bola ahmed tinubu out of boredom yesterday. 

just want to say if i ever hear any of you call any peter…",Neutral
AnthonyGodspee1,"rt @aliyusu8080: according to the data released by global data lab,peter obi outperformed bola tinubu and (fashola) in all 6 major growth i…",2022-10-13 16:52:54+00:00,0,,,,,bola tinubu,False,unknown,obi_labour,"rt @user according to the data released by global data lab,peter obi outperformed bola tinubu and (fashola) in all 6 major growth i…",Positive
king20223995331,"rt @areafada1: buhari’s legacy has been,evil clannishness, ethno-religious bigotry, and the worst failure in leadership in global history.…",2022-10-13 16:52:53+00:00,0,,,,,bola tinubu,False,unknown,,"rt @user buhari’s legacy has been,evil clannishness, ethno-religious bigotry, and the worst failure in leadership in global history.…",Negative
ensurewords,@abdulmahmud01 which do you nigerians prefer and want? bola tinubu who sent seyi tinubu to remove the cctv at the lekki toll gate so there will be no evidence or general john enenche who was just a military spoke man obeying the military law of obey till the last order. chose one,2022-10-13 16:52:25+00:00,0,,,,INDIA,bola tinubu,False,unknown,tinubu_apc,@user which do you nigerians prefer and want? bola tinubu who sent seyi tinubu to remove the cctv at the lekki toll gate so there will be no evidence or general john enenche who was just a military spoke man obeying the military law of obey till the last order. chose one,Neutral
OlabayoBalogun,rt @fisayosoyombo: pure: if you slated bola tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,2022-10-13 16:52:13+00:00,0,,,,Lagos,bola tinubu,False,lagos,tinubu_apc,rt @user pure: if you slated bola tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,Neutral
Exitednpoweryou,rt @dolusegun: asiwaju bola ahmed tinubu congratulates prince oluyole olusi on his 85th birthday https://t.co/olhdknkzha,2022-10-13 16:52:07+00:00,0,,,,Nigeria,bola tinubu,True,unknown,tinubu_apc,rt @user asiwaju bola ahmed tinubu congratulates prince oluyole olusi on his 85th birthday http,Positive
tweetlawunmi,rt @fisayosoyombo: pure: if you slated bola tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,2022-10-13 16:51:54+00:00,0,,,,,bola tinubu,False,unknown,tinubu_apc,rt @user pure: if you slated bola tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,Neutral
East_Defender,"rt @afamdeluxo: another poor attempt at deflecting. clearly, you are one of bola ahmed tinubu boys, the online ones. just own it and quit t…",2022-10-13 16:51:54+00:00,0,,,,"Delta, Nigeria",bola tinubu,True,delta,tinubu_apc,"rt @user another poor attempt at deflecting. clearly, you are one of bola ahmed tinubu boys, the online ones. just own it and quit t…",Negative
Salauabdulquad1,rt @gen_buhar: the right answer from an intelligent bola ahmed tinubu supporter in italy. https://t.co/mrz852d6af,2022-10-13 16:51:42+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,tinubu_apc,rt @user the right answer from an intelligent bola ahmed tinubu supporter in italy. http,Positive
nnamdiahukanna,rt @fisayosoyombo: pure: if you slated bola tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,2022-10-13 16:51:41+00:00,0,,,,"Abuja,nigeria",bola tinubu,True,abuja,tinubu_apc,rt @user pure: if you slated bola tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,Neutral
jadesolar_01,rt @fisayosoyombo: pure: if you slated bola tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,2022-10-13 16:51:37+00:00,0,,,,,bola tinubu,False,unknown,tinubu_apc,rt @user pure: if you slated bola tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,Neutral
pilotemi,rt @fisayosoyombo: pure: if you slated bola tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,2022-10-13 16:51:32+00:00,0,,,,in the lab...,bola tinubu,False,unknown,tinubu_apc,rt @user pure: if you slated bola tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,Neutral
sarcasm_zaddy,"rt @areafada1: buhari’s legacy has been,evil clannishness, ethno-religious bigotry, and the worst failure in leadership in global history.…",2022-10-13 16:51:31+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,,"rt @user buhari’s legacy has been,evil clannishness, ethno-religious bigotry, and the worst failure in leadership in global history.…",Negative
LeadershipNGA,"pdp calls out tinubu over termite comment
the national publicity secretary of the people’s democratic party, hon. debo ologunagba, is appalled by the statement made by bola ahmed tinubu, the presidental candidate for the all progressive congress. https://t.co/mgxuoizria",2022-10-13 16:51:03+00:00,2,,,,"Abuja, Nigeria",bola tinubu,True,abuja,atiku_pdp,"pdp calls out tinubu over termite comment
the national publicity secretary of the people’s democratic party, hon. debo ologunagba, is appalled by the statement made by bola ahmed tinubu, the presidental candidate for the all progressive congress. http",Negative
AbiolaMurry,rt @dolusegun: asiwaju bola ahmed tinubu congratulates prince oluyole olusi on his 85th birthday https://t.co/olhdknkzha,2022-10-13 16:51:01+00:00,0,,,,,bola tinubu,False,unknown,tinubu_apc,rt @user asiwaju bola ahmed tinubu congratulates prince oluyole olusi on his 85th birthday http,Positive
adeflowsolomon,"rt @jamesperry00: if they (nigerians) demand for a change of government, tell them to shut up!!.

~bola tinubu

nigerian the ball is in you…",2022-10-13 16:50:56+00:00,0,,,,,bola tinubu,False,unknown,tinubu_apc,"rt @user if they (nigerians) demand for a change of government, tell them to shut up!!.

~bola tinubu

nigerian the ball is in you…",Neutral
Israerll,rt @fisayosoyombo: pure: if you slated bola tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,2022-10-13 16:50:41+00:00,0,,,,LDN,bola tinubu,False,unknown,tinubu_apc,rt @user pure: if you slated bola tinubu (like many of us have done) in the past for querying what protesters were doing at the t…,Neutral
mzta_hayzed24,"rt @duchessmabboud: asiwaju bola ahmed tinubu - the man who would be elected president in 2023!

like and rt if you agree☺️.",2022-10-13 16:50:32+00:00,0,,,,"Surulere, Lagos",bola tinubu,False,unknown,tinubu_apc,"rt @user asiwaju bola ahmed tinubu - the man who would be elected president in 2023!

like and rt if you agree☺️.",Positive
CelestineEdwin3,"rt @areafada1: buhari’s legacy has been,evil clannishness, ethno-religious bigotry, and the worst failure in leadership in global history.…",2022-10-13 16:50:20+00:00,0,,,,"Lagos, Nigeria",bola tinubu,True,lagos,,"rt @user buhari’s legacy has been,evil clannishness, ethno-religious bigotry, and the worst failure in leadership in global history.…",Negative
MaouzConcept,"rt @areafada1: buhari’s legacy has been,evil clannishness, ethno-religious bigotry, and the worst failure in leadership in global history.…",2022-10-13 16:50:15+00:00,0,,,,,bola tinubu,False,unknown,,"rt @user buhari’s legacy has been,evil clannishness, ethno-religious bigotry, and the worst failure in leadership in global history.…",Negative
Official_ABAT,"congratulations prince tajudeen oluyole olusi on your 86th birthday

~asiwaju bola ahmed tinubu~
♾️ https://t.co/sk0wayy0pd",2022-10-13 16:50:13+00:00,2,,,,"Lagos, Nigeria",bola tinubu,True,lagos,tinubu_apc,"congratulations prince tajudeen oluyole olusi on your 86th birthday

~asiwaju bola ahmed tinubu~
♾️ http",Positive
1st9ja,"rt @areafada1: buhari’s legacy has been,evil clannishness, ethno-religious bigotry, and the worst failure in leadership in global history.…",2022-10-13 16:49:52+00:00,0,,,,Ghana,bola tinubu,False,unknown,,"rt @user buhari’s legacy has been,evil clannishness, ethno-religious bigotry, and the worst failure in leadership in global history.…",Negative
OlaJoel20,rt @afamdeluxo: what bola tinubu boys have been doing to ndiigbo and other ethnicity in lagos is not different from the xenophobia nigerian…,2022-10-13 16:49:05+00:00,0,,,,,bola tinubu,False,unknown,obi_labour,rt @user what bola tinubu boys have been doing to ndiigbo and other ethnicity in lagos is not different from the xenophobia nigerian…,Negative
adorable01121,"rt @daily_trust: the anambra state chapter of the all progressives congress (apc) has disowned minister of labour and employment, dr. chris…",2022-10-13 16:49:04+00:00,0,,,,,bola tinubu,False,unknown,obi_labour,"rt @user the anambra state chapter of the all progressives congress (apc) has disowned minister of labour and employment, dr. chris…",Neutral
abdoul_official,rt @mvnaaa___: the deputy national women leader of the apc haj. zainab abubakar @auntyzeeee ibrahim together with the apc presidential cand…,2022-10-13 16:49:02+00:00,0,,,,Nigeria 🇳🇬,bola tinubu,True,unknown,tinubu_apc,rt @user the deputy national women leader of the apc haj. zainab abubakar @user ibrahim together with the apc presidential cand…,Neutral
